film,protag
Rambo: First Blood Part II,RAMBO
The Mummy (1999 film),O'CONNELL
Drive (2011 film),DRIVER
Babel (film),RICHARD
The Saint (film),TEMPLAR
Moon (film),SAM 1
Drive Angry,MILTON
Bloodfist VII: Manhunt,JIM
The Invention of Lying,MARK
Millers Crossing,Finally
Burning Annie,MAX
"Sex, Lies, and Videotape",ANN
The Kids Are All Right (film),JULES
Theres Something About Mary,TED
Seven (film),SOMERSET
The Bachelor Party,CHARLIE
Hellraiser: Deader,AMY
Do the Right Thing,MOOKIE
Gremlins,BILLY
Freaked,RICK
Five Easy Pieces,BOBBY
Dog Day Afternoon,SONNY
Bad Boys (1995 film),BURNETT
The Doors (film),JIM
Boiler Room (film),SETH
Burlesque (2010 American film),ALI
G.I. Joe: The Rise of Cobra,DUKE
Hellboy II: The Golden Army,HELLBOY
A Nightmare on Elm Street 4: The Dream Master,ALICE
Cool Hand Luke,DRAGLINE
Leviathan (1989 film),BECK
Apt Pupil (film),TODD
Pet Sematary (film),LOUIS
Last Chance Harvey,HARVEY
XXX (film),XANDER
The Power of One (film),PK
Troops (film),DAEMOND
Silverado (film),PADEN
The Swimmer (1968 film),NED
Perfect Creature,LILLY
The Producers (1968 film),BIALYSTOCK
Napoleon Dynamite,Napoleon
Hard to Kill,STORM
Bad Santa,WILLIE
Panic Room,MEG
Heavy Metal (film),PILOT
Sleepless in Seattle,SAM
The Wizard of Oz (1939 film),DOROTHY
Zerophilia,LUKE
Defiance (2008 film),TUVIA
Pirates of the Caribbean: The Curse of the Black Pearl,JACK
Priest (2011 film),PRIEST
Misery (film),ANNIE
Slither (2006 film),BILL
A Few Good Men,KAFFEE
Black Rain (1989 American film),NICK
The Game (1997 film),SCHUYLER
Colombiana,CAT
Indiana Jones and the Kingdom of the Crystal Skull,INDIANA
The Evil Dead,ASHLY
Star Trek Generations,PICARD
The Hebrew Hammer,HAMMER
Music of the Heart,ROBERTA
Marley & Me (film),JOHN
Anastasia (1997 film),ANYA
Blue Velvet (film),JEFFREY
Entrapment (film),MAC
The Italian Job (2003 film),CHARLIE
Rushmore (film),MAX
The Public Eye (film),BERNZY
Charlies Angels (film),DYLAN
Wild Wild West,WEST
Swordfish (film),GABRIEL
The Men Who Stare at Goats (film),BOB
Mobsters,LUCIANO
The American President,SHEPHERD
Logans Run (film),LOGAN
Cradle 2 the Grave,FAIT
Tamara Drewe (film),NICHOLAS
A Night at the Roxbury,DOUG
Boy Who Never Slept,DANIEL
Halloween H20: 20 Years Later,KERI
This Is 40,DEBBIE
Airplane II: The Sequel,TED
Hellraiser: Hellseeker,TREVOR
The Devil and Daniel Webster (film),JABEZ
Escape from L.A.,PLISSKEN
Murderland,BRUCE
Dune (film),PAUL
Dead Poets Society,NEIL
Rise of the Planet of the Apes,WILL
Three Kings (1999 film),ARCHIE GATES
Dr. Strangelove,MAJOR KONG
Wag the Dog,BREAN
True Grit (2010 film),Mattie
Beasts of the Southern Wild,WINK
Halloween: Resurrection,SARA
Traffic (2000 film),ROBERT
Jason X,ROWAN
Alone in the Dark (2005 film),CARNBY
The Lost Weekend (film),DON
Legally Blonde,ELLE
"O Brother, Where Art Thou?",EVERETT
Somethings Gotta Give (film),HARRY
What Women Want,NICK
The Last Flight (1931 film),CARY
The Naked City,MULVEY
"South Park: Bigger, Longer & Uncut",KYLE
A Nightmare on Elm Street,NANCY
Freaks,HANS
The Manchurian Candidate (2004 film),MARCO
Invaders from Mars (1953 film),DAVID
The Time Machine (1960 film),TIME TRAVELLER
The Lord of the Rings: The Fellowship of the Ring,GANDALF
American Graffiti,CURT
Cecil B. Demented,CECIL
The Queen (film),ELIZABETH
The Rock (film),GOODSPEED
Blow (film),GEORGE
Mrs. Brown,BROWN
The Hospital,BOCK
An American Werewolf in London,DAVID
Harvey (film),ELWOOD
Jane Eyre (2011 film),JANE
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PETER
The Good Girl,JUSTINE
"Bodies, Rest & Motion",NICK
Friday the 13th Part III,SHELLY
Land of the Dead,RILEY
The Corruptor,CHEN
The Boondock Saints II: All Saints Day,EUNICE
Anonymous (film),OXFORD
Moonrise Kingdom,SAM
Star Trek: First Contact,PICARD
Broken Embraces,HARRY
Twin Peaks: Fire Walk with Me,LAURA
Dragonslayer,GALEN
Final Destination 2,KIMBERLY
Labyrinth (film),ANOTHER ANGLE
Invictus (film),MANDELA
Field of Dreams,RAY
Antitrust (film),MILO
Duck Soup (1933 film),GROUCHO
Highlander: Endgame,DUNCAN
The Relic (film),PENDERGAST
Little Monsters,BRIAN
Django Unchained,DJANGO
The Battle of Shaker Heights,KELLY
Ring (film),ASAKAWA
Red Riding Hood (2011 film),ISABELLE
Evil Dead II,ASH
Requiem for a Dream,HARRY
Smokin Aces,MESSNER
The Ninth Gate,CORSO
30 Minutes or Less,WILL
Water for Elephants (film),JACOB
Very Bad Things,FISHER
Psycho (1960 film),SAM
You Can Count on Me,SAMMY
Donnie Brasco (film),DONNIE
The Incredibles,BOB
The Parent Trap (1998 film),ELIZABETH
Friday the 13th: The Final Chapter,TRICIA
Glengarry Glen Ross (film),ROMA
Flash Gordon (film),FLASH
American History X,DEREK
The Princess Bride (film),INIGO
The Last of the Mohicans (1992 film),HAWKEYE
What About Bob,BOB
The Perks of Being a Wallflower (film),CHARLIE
Stolen Summer,PETE
The Grifters (film),ROY
Hanna (film),HANNA
Kate & Leopold,KATE
Inventing the Abbotts,DOUG
2001: A Space Odyssey (film),BOWMAN
Tombstone (film),WYATT
Law Abiding Citizen,NICK
All About Eve,MARGO
12 (2003 film),ALLEN
The Big White,PAUL
How to Lose Friends & Alienate People (film),SIDNEY
The Thing from Another World,HENRY
On the Waterfront,TERRY
Antz,Z
Last Tango in Paris,JEANNE
Crime Spree,SAMI
Cliffhanger (film),GABE
Scream 3,GALE
Vertigo (film),SCOTTIE
I Still Know What You Did Last Summer,JULIE
Platinum Blonde (film),STEW
Cellular (film),RYAN
Basic Instinct,NICK
The Fighter,MICKY
Hellraiser,LARRY
Planet of the Apes (2001 film),leo
The Getaway (1972 film),DOC
Metro (1997 film),ROPER
Rebel Without a Cause,JIM
Blue Valentine (film),DEAN
Ghost (1990 film),SAM
Tron,FLYNN
Pandorum,BOWER
Suspect Zero,MACKELWAY
The Island (2005 film),LINCOLN
Grand Hotel (film),BARON
Star Trek VI: The Undiscovered Country,Kirk
Heathers,VERONICA
One Good Turn (1931 film),RUTH
Three Men and a Baby,PETER
Working Girl,Tess
The Day the Clown Cried,HELMUT
Goodfellas,HENRY
Hollow Man,LINDA
Breakdown (film),JEFF
Ted (film),JOHN
Juno (film),JUNO
Assassins (film),RATH
Devil in a Blue Dress (film),EASY
White Christmas (film),BOB
Cruel Intentions,SEBASTIAN
Fright Night (2011 film),CHARLIE
Constantine (film),JOHN
The Ladykillers (2004 film),DORR
The Mechanic (2011 film),BISHOP
My Week with Marilyn,COLIN
Dracula (1931 film),HELSING
Fast Times at Ridgemont High,STACY
From Russia with Love (film),BOND
Shock Treatment,JANET
Superman III,GUS
Collateral (film),MAX
Hope and Glory (film),GRACE
"Synecdoche, New York",CADEN
Event Horizon (film),MILLER
Grand Theft Parsons,PHIL
Witness (1985 film),BOOK
Thelma & Louise,THELMA
Beavis and Butt-head Do America,BUTT-HEAD
Minis First Time,MINI
The Damned United,CLOUGH
The Bounty Hunter (2010 film),MILO
Beloved (film),SETHE
Into the Wild (film),CHRIS
Sex and the City (film),CARRIE
Magnolia (film),JIM KURRING
Lost Highway (film),PETE
Silver Linings Playbook,PAT
The Man in the Iron Mask (1998 film),ARAMIS
Shame (2011 film),BRANDON
12 Monkeys,COLE
The Fugitive (1993 film),GERARD
Out of Sight,FOLEY
Pulp Fiction,VINCENT
The Third Man,MARTINS
The Adventures of Ford Fairlane,FORD
Peeping Tom (film),MARK
The Thin Man (film),Nick
Unknown (2011 film),MARTIN
The House Next Door (film),TERRY
I Walked with a Zombie,BETSY
The Dark Knight Rises,WAYNE
Mulholland Drive (film),BETTY
The Running Man (1987 film),Ben
The Next Three Days,JOHN
Stranglehold (1931 film),RICHTER
Margaret (2011 film),LISA
The Last Station,VALENTIN
Oceans Eleven,DANNY
The Ghost and the Darkness,PATTERSON
Chaos (2005 Capitol film),CONNERS
Lone Star (1996 film),SAM
The Avengers (1998 film),EMMA
1492: Conquest of Paradise,COLUMBUS
American Beauty (film),LESTER
Punch-Drunk Love,BARRY
The Cincinnati Kid,KID
Cast Away,CHUCK
Lincoln (2012 film),LINCOLN
Only God Forgives,JULIAN
Deep Cover,HULL
Some Like It Hot,JOE
Halloween (1978 film),LAURIE
Little Athens,JESSICA
Midnight in Paris,GIL
The Omega Man,NEVILLE
Nosferatu,HARKER
Dances with Wolves,DUNBAR
Mission: Impossible II,ETHAN
The Fifth Element,KORBEN
Thor (film),THOR
Sling Blade,KARL
Flight (2012 film),WHIP
Taxi Driver,TRAVIS
Disturbia (film),KALE
The Replacements (film),SHANE
True Lies,HARRY
They (2002 film),JULIA
Conspiracy Theory (film),LIZA
Scott Pilgrim vs. the World,SCOTT
The Losers (film),CLAY
Star Wars (film),LUKE
Hellbound: Hellraiser II,KIRSTY
Ginger Snaps (film),BRIGITTE
Robin Hood: Prince of Thieves,ROBIN
Bamboozled,DELACROIX
Henrys Crime,HENRY
Planet of the Apes (1968 film),TAYLOR
Rush Hour (1998 film),CARSON
Fair Game (2010 film),VALERIE
Timber Falls,MIKE
Light Sleeper,LETOUR
Battle: Los Angeles,SGT. NANTZ
The Program,JOE
Wild Hogs,DOUG
Sunset Boulevard (film),GILLIS
Obsessed (2009 film),DEREK
The Little Mermaid (1989 film),Ariel
Shallow Grave,ALEX
Living in Oblivion,NICK
Bram Stokers Dracula,MINA
Meet John Doe,ANN
The Limey,WILSON
Legend (1985 film),JACK
Ghostbusters II,VENKMAN
Braveheart,wallace
From Here to Eternity,PREW
Harold and Maude,MAUDE
TMNT (film),RAPHAEL
The Way Back,JANUSZ
The X-Files (film),MULDER
My Mother Dreams the Satans Disciples in New York,MARIAN
Chasing Amy,HOLDEN
The Hangover,VICK
Mad Max 2,MAX
Elizabeth: The Golden Age,ELIZABETH
Blood Simple,RAY
Copycat (film),M.J.
Smokey and the Bandit,BANDIT
The World Is Not Enough,BOND
The Hustler (film),EDDIE
Batman & Robin (film),FREEZE
Alien vs. Predator (film),HIROKO
American Gangster (film),FRANK
The Atomic Submarine,REEF
Bringing Out the Dead,FRANK
Apollo 13 (film),JIM LOVELL
Men in Black (film),KAY
The Hills Have Eyes (2006 film),DOUG
Bottle Rocket,DIGNAN
Miami Vice (film),CROCKETT
The Lost Boys,SAM
High Fidelity (film),ROB
"Happy Birthday, Wanda June",HAROLD
April Fools Day (1986 film),ROB
Lake Placid (film),KELLY
The Graduate,BEN
Meet Joe Black,PARRISH
Smoke (film),PAUL
American Madness,DICKSON
Pump Up the Volume (film),Mark
Nothing But a Man,DUFF
Four Rooms,TED
Confessions of a Dangerous Mind,BARRIS
The Help (film),SKEETER
Fantastic Mr. Fox (film),FOX
Orgy of the Dead,CRISWELL
Dark Star (film),DOOLITTLE
An Officer and a Gentleman,ZACK
Wanted (2008 film),WESLEY
The Thing Called Love,MIRANDA
Salt of the Earth,RAMÓN
Rust and Bone,ALI
Prometheus (2012 film),WATTS
Fantastic Voyage,GRANT
Precious (film),PRECIOUS
The Siege,HUB
2012 (film),JACKSON
American Psycho (film),BATEMAN
Swingers (1996 film),MIKE
Get Shorty (film),CHILI
The Cider House Rules (film),HOMER
Escape from New York,SNAKE
The Stunt Man,CAMERON
Point Break,UTAH
This Boys Life (film),TOBY
Made for Each Other (1939 film),JOHNNY
Gothika,MIRANDA
The Boondock Saints,SMECKER
The Abyss,BUD
True Romance,CLARENCE
Platoon (film),CHRIS
Shampoo (film),GEORGE
The Visitor (2007 drama film),WALTER
Darkman,JULIE
Zero Dark Thirty,MAYA
Innerspace,JOE
Source Code,COLTER
A Bucket of Blood (1995 film),WALTER
Harold & Kumar Go to White Castle,KUMAR
The Deer Hunter,NICK
Monty Python Live at the Hollywood Bowl,Customer
The Twilight Saga: New Moon,BELLA
Airplane!,ELAINE
Eternal Sunshine of the Spotless Mind,JOEL
Twilight (2008 film),BELLA
Oblivion (2013 film),JACK
Moneyball (film),BILLY
Marty (film),MARTY
In the Loop (film),SIMON
Frequency (film),FRANK
Wild Things: Diamonds in the Rough,MARIE
The Salton Sea,DANNY
The Breakfast Club,BENDER
Love & Basketball,MONICA
Argo (2012 film),MENDEZ
Milk (film),HARVEY MILK
The Wrestler (2008 film),RANDY
Galaxy Quest,JASON
White Squall (film),SKIPPER
Ghost Rider (film),BLAZE
Strangers on a Train (film),GUY
Monty Pythons Life of Brian,Brian
Ronin (film),SAM
Happy Campers (2001 film),WICHITA
Romy and Micheles High School Reunion,Romy
Stepmom (film),JACKIE
10 Things I Hate About You,KAT
Superman II,LOIS
The Tourist (2010 film),FRANK
The Mask (film),STANLEY
Prom Night (1980 film),KIM
True Believer (1989 film),EDDIE
Simone (2002 film),VIKTOR
Margin Call (film),WILL EMERSON
Full Metal Jacket,HARTMAN
National Lampoons Barely Legal,DEACON
The Postman (film),THE POSTMAN
Enough (film),SLIM
Wild Things,SAM
Above the Law (film),NICO
Repo Man (film),OTTO
Newsies,JACK
Eyes Wide Shut,BILL
Cedar Rapids (film),TIM
Minority Report (film),ANDERSON
Shrek,SHREK
Heist (film),MOORE
The Straight Story,ALVIN
Gang Related,DIVINCI
Human Nature (film),NATHAN
The Crow: Salvation,ALEX
Man on Fire (2004 film),CREASY
Alien: Resurrection,CALL
Pokémon: Mewtwo Returns,Mewtwo
Frozen (2010 American film),LYNCH
S. Darko,SAM
Dave (film),DAVE
King Kong (2005 film),DENHAM
Paul (film),CLIVE
The Matrix Reloaded,MORPHEUS
Cross of Iron,STEINER
Pitch Black (film),FRY
Ghost World (film),ENID
Eastern Promises,NIKOLAI
The Jackie Robinson Story,JACKIE
Léon: The Professional,LEON
Things to Come,CABAL
Emma (1932 film),EMMA
Cowboys & Aliens,JAKE
Anna Karenina (2012 film),ANNA
Excalibur (film),ARTHUR
Ninotchka,NINOTCHKA
The Last Boy Scout,HALLENBECK
The White Ribbon,SCHOOLTEACHER
Titanic (1997 film),ROSE
Election (1999 film),JIM
Tinker Tailor Soldier Spy (film),SMILEY
Monte Carlo (2011 film),ALICE
Sense and Sensibility (film),ELINOR
Freddys Dead: The Final Nightmare,JACOB
Lord of Illusions,HARRY
Black Swan (film),NINA
The Wedding Date,KAT
Funny People,GEORGE
Domino (film),DOMINO
The Curious Case of Benjamin Button (film),BENJAMIN
The Rocky Horror Picture Show,FRANK
Speed Racer (film),SPEED
The Deep End of the Ocean (film),Beth
Orphan (film),KATE
So I Married an Axe Murderer,CHARLIE
Face-Off,ARCHER
Memento (film),LEONARD
Clash of the Titans (2010 film),PERSEUS
The Big Blue,ENZO
The Lost World: Jurassic Park,MALCOLM
The Distinguished Gentleman,TOMMY
Lost Horizon (1937 film),CONWAY
Jerry Maguire,JERRY
The Road (2009 film),MAN.
Office Space,PETER
Blast from the Past (film),ADAM
The Cable Guy,CABLE GUY
The Talented Mr. Ripley (film),RIPLEY
Forrest Gump,FORREST
Warm Springs (film),FRANKLIN
Double Indemnity (film),NEFF
The Debt (2011 film),RACHEL
A Nightmare on Elm Street 5: The Dream Child,ALICE
Jackie Brown (film),JACKIE
Bachelor Party (1984 film),RICK
Save the Last Dance,SARA
Tomorrow Never Dies,BOND
Surrogates (film),GREER
Analyze This,BEN
Bean (film),DAVID
House of 1000 Corpses,JERRY
Someone to Watch Over Me (film),MIKE
Sweeney Todd: The Demon Barber of Fleet Street (2007 film),TODD
Being There,CHANCE
The Last Samurai,ALGREN
Bad Teacher,ELIZABETH
Practical Magic,Sally
Hardcore (1979 film),JAKE
Life (1999 film),RAY
Under Fire (film),PRICE
The Bridges of Madison County (film),FRANCESCA
Body Heat,RACINE
New York Minute (film),DREW
His Girl Friday,HILDY
Margot at the Wedding,MARGOT
The Flintstones (film),FRED
Changeling (film),CHRISTINE
Mission to Mars,MCCONNELL
Year One (film),ZED
Krull (film),COLWYN
As Good as It Gets,MELVIN
Midnight Express (film),BILLY
Martha Marcy May Marlene,MARTHA
Mighty Morphin Power Rangers: The Movie,IVAN
Dawn of the Dead,Peter
L.A. Confidential (film),EXLEY
Hannibal (film),STARLING
The Shining (film),JACK
Flightplan,KYLE
The Cooler,BERNIE
8mm (film),WELLES
Blood and Wine,ALEX
Willow (film),WILLOW
